Time (ns),spi_master_tb.dut.mosi
0,0
5350000,1
15350000,0
25350000,1
35350000,0
45350000,1
55350000,0
65350000,1
75350000,0
95350000,1
105350000,0
115350000,1
125350000,0
135350000,1
145350000,0
155350000,1
181410000,0
201410000,1
221410000,0
241410000,1
261410000,0
281410000,1
301410000,0
316510000,1
336510000,0
356510000,1
376510000,0
396510000,1
416510000,0
436510000,1
456510000,0
502110000,1
512110000,0
542110000,1
552110000,0
582110000,1
592110000,0
622110000,1
627670000,0
647670000,1
657670000,0
687670000,1
697670000,0
727670000,1
737670000,0
767670000,1
777670000,0
803230000,1
813230000,0
843230000,1
853230000,0
883230000,1
893230000,0
923230000,1
933230000,0
958590000,1
968590000,0
998590000,1
1008590000,0
1038590000,1
1048590000,0
1078590000,1
1088590000,0
1123950000,1
1133950000,0
1153950000,1
1163950000,0
1193950000,1
1213950000,0
1223950000,1
1233950000,0
1280010000,1
1290010000,0
1310010000,1
1320010000,0
1350010000,1
1370010000,0
1380010000,1
1390010000,0
