Time (ns),spi_master_tb.dut.sclk
0,0
10000,x
30000,x
50000,x
70000,x
90000,x
130000,0
5350000,1
10350000,0
15350000,1
20350000,0
25350000,1
30350000,0
35350000,1
40350000,0
45350000,1
50350000,0
55350000,1
60350000,0
65350000,1
70350000,0
75350000,1
80350000,0
85350000,1
90350000,0
95350000,1
100350000,0
105350000,1
110350000,0
115350000,1
120350000,0
125350000,1
130350000,0
135350000,1
140350000,0
145350000,1
150350000,0
155350000,1
155410000,0
161410000,1
166410000,0
171410000,1
176410000,0
181410000,1
186410000,0
191410000,1
196410000,0
201410000,1
206410000,0
211410000,1
216410000,0
221410000,1
226410000,0
231410000,1
236410000,0
241410000,1
246410000,0
251410000,1
256410000,0
261410000,1
266410000,0
271410000,1
276410000,0
281410000,1
286410000,0
291410000,1
296410000,0
301410000,1
306410000,0
311410000,1
311470000,0
316510000,1
321510000,0
326510000,1
331510000,0
336510000,1
341510000,0
346510000,1
351510000,0
356510000,1
361510000,0
366510000,1
371510000,0
376510000,1
381510000,0
386510000,1
391510000,0
396510000,1
401510000,0
406510000,1
411510000,0
416510000,1
421510000,0
426510000,1
431510000,0
436510000,1
441510000,0
446510000,1
451510000,0
456510000,1
461510000,0
466510000,1
466570000,0
472110000,1
477110000,0
482110000,1
487110000,0
492110000,1
497110000,0
502110000,1
507110000,0
512110000,1
517110000,0
522110000,1
527110000,0
532110000,1
537110000,0
542110000,1
547110000,0
552110000,1
557110000,0
562110000,1
567110000,0
572110000,1
577110000,0
582110000,1
587110000,0
592110000,1
597110000,0
602110000,1
607110000,0
612110000,1
617110000,0
622110000,1
622170000,0
627670000,1
632670000,0
637670000,1
642670000,0
647670000,1
652670000,0
657670000,1
662670000,0
667670000,1
672670000,0
677670000,1
682670000,0
687670000,1
692670000,0
697670000,1
702670000,0
707670000,1
712670000,0
717670000,1
722670000,0
727670000,1
732670000,0
737670000,1
742670000,0
747670000,1
752670000,0
757670000,1
762670000,0
767670000,1
772670000,0
777670000,1
777730000,0
783230000,1
788230000,0
793230000,1
798230000,0
803230000,1
808230000,0
813230000,1
818230000,0
823230000,1
828230000,0
833230000,1
838230000,0
843230000,1
848230000,0
853230000,1
858230000,0
863230000,1
868230000,0
873230000,1
878230000,0
883230000,1
888230000,0
893230000,1
898230000,0
903230000,1
908230000,0
913230000,1
918230000,0
923230000,1
928230000,0
933230000,1
933290000,0
938590000,1
943590000,0
948590000,1
953590000,0
958590000,1
963590000,0
968590000,1
973590000,0
978590000,1
983590000,0
988590000,1
993590000,0
998590000,1
1003590000,0
1008590000,1
1013590000,0
1018590000,1
1023590000,0
1028590000,1
1033590000,0
1038590000,1
1043590000,0
1048590000,1
1053590000,0
1058590000,1
1063590000,0
1068590000,1
1073590000,0
1078590000,1
1083590000,0
1088590000,1
1088650000,0
1093950000,1
1098950000,0
1103950000,1
1108950000,0
1113950000,1
1118950000,0
1123950000,1
1128950000,0
1133950000,1
1138950000,0
1143950000,1
1148950000,0
1153950000,1
1158950000,0
1163950000,1
1168950000,0
1173950000,1
1178950000,0
1183950000,1
1188950000,0
1193950000,1
1198950000,0
1203950000,1
1208950000,0
1213950000,1
1218950000,0
1223950000,1
1228950000,0
1233950000,1
1238950000,0
1243950000,1
1244010000,0
1250010000,1
1255010000,0
1260010000,1
1265010000,0
1270010000,1
1275010000,0
1280010000,1
1285010000,0
1290010000,1
1295010000,0
1300010000,1
1305010000,0
1310010000,1
1315010000,0
1320010000,1
1325010000,0
1330010000,1
1335010000,0
1340010000,1
1345010000,0
1350010000,1
1355010000,0
1360010000,1
1365010000,0
1370010000,1
1375010000,0
1380010000,1
1385010000,0
1390010000,1
1395010000,0
1400010000,1
1400070000,0
