Time (ns),spi_master_tb.dut.sclk_gen
0,x
110000,0
5330000,1
10330000,0
15330000,1
20330000,0
25330000,1
30330000,0
35330000,1
40330000,0
45330000,1
50330000,0
55330000,1
60330000,0
65330000,1
70330000,0
75330000,1
80330000,0
85330000,1
90330000,0
95330000,1
100330000,0
105330000,1
110330000,0
115330000,1
120330000,0
125330000,1
130330000,0
135330000,1
140330000,0
145330000,1
150330000,0
155330000,1
155390000,0
161390000,1
166390000,0
171390000,1
176390000,0
181390000,1
186390000,0
191390000,1
196390000,0
201390000,1
206390000,0
211390000,1
216390000,0
221390000,1
226390000,0
231390000,1
236390000,0
241390000,1
246390000,0
251390000,1
256390000,0
261390000,1
266390000,0
271390000,1
276390000,0
281390000,1
286390000,0
291390000,1
296390000,0
301390000,1
306390000,0
311390000,1
311450000,0
316490000,1
321490000,0
326490000,1
331490000,0
336490000,1
341490000,0
346490000,1
351490000,0
356490000,1
361490000,0
366490000,1
371490000,0
376490000,1
381490000,0
386490000,1
391490000,0
396490000,1
401490000,0
406490000,1
411490000,0
416490000,1
421490000,0
426490000,1
431490000,0
436490000,1
441490000,0
446490000,1
451490000,0
456490000,1
461490000,0
466490000,1
466550000,0
472090000,1
477090000,0
482090000,1
487090000,0
492090000,1
497090000,0
502090000,1
507090000,0
512090000,1
517090000,0
522090000,1
527090000,0
532090000,1
537090000,0
542090000,1
547090000,0
552090000,1
557090000,0
562090000,1
567090000,0
572090000,1
577090000,0
582090000,1
587090000,0
592090000,1
597090000,0
602090000,1
607090000,0
612090000,1
617090000,0
622090000,1
622150000,0
627650000,1
632650000,0
637650000,1
642650000,0
647650000,1
652650000,0
657650000,1
662650000,0
667650000,1
672650000,0
677650000,1
682650000,0
687650000,1
692650000,0
697650000,1
702650000,0
707650000,1
712650000,0
717650000,1
722650000,0
727650000,1
732650000,0
737650000,1
742650000,0
747650000,1
752650000,0
757650000,1
762650000,0
767650000,1
772650000,0
777650000,1
777710000,0
783210000,1
788210000,0
793210000,1
798210000,0
803210000,1
808210000,0
813210000,1
818210000,0
823210000,1
828210000,0
833210000,1
838210000,0
843210000,1
848210000,0
853210000,1
858210000,0
863210000,1
868210000,0
873210000,1
878210000,0
883210000,1
888210000,0
893210000,1
898210000,0
903210000,1
908210000,0
913210000,1
918210000,0
923210000,1
928210000,0
933210000,1
933270000,0
938570000,1
943570000,0
948570000,1
953570000,0
958570000,1
963570000,0
968570000,1
973570000,0
978570000,1
983570000,0
988570000,1
993570000,0
998570000,1
1003570000,0
1008570000,1
1013570000,0
1018570000,1
1023570000,0
1028570000,1
1033570000,0
1038570000,1
1043570000,0
1048570000,1
1053570000,0
1058570000,1
1063570000,0
1068570000,1
1073570000,0
1078570000,1
1083570000,0
1088570000,1
1088630000,0
1093930000,1
1098930000,0
1103930000,1
1108930000,0
1113930000,1
1118930000,0
1123930000,1
1128930000,0
1133930000,1
1138930000,0
1143930000,1
1148930000,0
1153930000,1
1158930000,0
1163930000,1
1168930000,0
1173930000,1
1178930000,0
1183930000,1
1188930000,0
1193930000,1
1198930000,0
1203930000,1
1208930000,0
1213930000,1
1218930000,0
1223930000,1
1228930000,0
1233930000,1
1238930000,0
1243930000,1
1243990000,0
1249990000,1
1254990000,0
1259990000,1
1264990000,0
1269990000,1
1274990000,0
1279990000,1
1284990000,0
1289990000,1
1294990000,0
1299990000,1
1304990000,0
1309990000,1
1314990000,0
1319990000,1
1324990000,0
1329990000,1
1334990000,0
1339990000,1
1344990000,0
1349990000,1
1354990000,0
1359990000,1
1364990000,0
1369990000,1
1374990000,0
1379990000,1
1384990000,0
1389990000,1
1394990000,0
1399990000,1
1400050000,0
