Time (ns),spi_master_tb.dut.state
0,b0
310000,b1
330000,b10
155370000,b100
155390000,b0
156370000,b1
156390000,b10
311430000,b100
311450000,b0
311470000,b1
311490000,b10
466530000,b100
466550000,b0
467070000,b1
467090000,b10
622130000,b100
622150000,b0
622630000,b1
622650000,b10
777690000,b100
777710000,b0
778190000,b1
778210000,b10
933250000,b100
933270000,b0
933550000,b1
933570000,b10
1088610000,b100
1088630000,b0
1088910000,b1
1088930000,b10
1243970000,b100
1243990000,b0
1244970000,b1
1244990000,b10
1400030000,b100
1400050000,b0
