Time (ns),spi_master_tb.dut.tx_shift_reg
0,b0
310000,b1010101001010101
5350000,b101010010101010
15350000,b1010100101010100
25350000,b101001010101000
35350000,b1010010101010000
45350000,b100101010100000
55350000,b1001010101000000
65350000,b10101010000000
75350000,b101010100000000
85350000,b1010101000000000
95350000,b101010000000000
105350000,b1010100000000000
115350000,b101000000000000
125350000,b1010000000000000
135350000,b100000000000000
145350000,b1000000000000000
155350000,b0
156370000,b1100110011001100
161410000,b1001100110011000
171410000,b11001100110000
181410000,b110011001100000
191410000,b1100110011000000
201410000,b1001100110000000
211410000,b11001100000000
221410000,b110011000000000
231410000,b1100110000000000
241410000,b1001100000000000
251410000,b11000000000000
261410000,b110000000000000
271410000,b1100000000000000
281410000,b1000000000000000
291410000,b0
311470000,b1100110011001100
316510000,b1001100110011000
326510000,b11001100110000
336510000,b110011001100000
346510000,b1100110011000000
356510000,b1001100110000000
366510000,b11001100000000
376510000,b110011000000000
386510000,b1100110000000000
396510000,b1001100000000000
406510000,b11000000000000
416510000,b110000000000000
426510000,b1100000000000000
436510000,b1000000000000000
446510000,b0
467070000,b1000100010001
472110000,b10001000100010
482110000,b100010001000100
492110000,b1000100010001000
502110000,b1000100010000
512110000,b10001000100000
522110000,b100010001000000
532110000,b1000100010000000
542110000,b1000100000000
552110000,b10001000000000
562110000,b100010000000000
572110000,b1000100000000000
582110000,b1000000000000
592110000,b10000000000000
602110000,b100000000000000
612110000,b1000000000000000
622110000,b0
622630000,b10001000100010
627670000,b100010001000100
637670000,b1000100010001000
647670000,b1000100010000
657670000,b10001000100000
667670000,b100010001000000
677670000,b1000100010000000
687670000,b1000100000000
697670000,b10001000000000
707670000,b100010000000000
717670000,b1000100000000000
727670000,b1000000000000
737670000,b10000000000000
747670000,b100000000000000
757670000,b1000000000000000
767670000,b0
778190000,b10001000100010
783230000,b100010001000100
793230000,b1000100010001000
803230000,b1000100010000
813230000,b10001000100000
823230000,b100010001000000
833230000,b1000100010000000
843230000,b1000100000000
853230000,b10001000000000
863230000,b100010000000000
873230000,b1000100000000000
883230000,b1000000000000
893230000,b10000000000000
903230000,b100000000000000
913230000,b1000000000000000
923230000,b0
933550000,b10001000100010
938590000,b100010001000100
948590000,b1000100010001000
958590000,b1000100010000
968590000,b10001000100000
978590000,b100010001000000
988590000,b1000100010000000
998590000,b1000100000000
1008590000,b10001000000000
1018590000,b100010000000000
1028590000,b1000100000000000
1038590000,b1000000000000
1048590000,b10000000000000
1058590000,b100000000000000
1068590000,b1000000000000000
1078590000,b0
1088910000,b1001000110100
1093950000,b10010001101000
1103950000,b100100011010000
1113950000,b1001000110100000
1123950000,b10001101000000
1133950000,b100011010000000
1143950000,b1000110100000000
1153950000,b1101000000000
1163950000,b11010000000000
1173950000,b110100000000000
1183950000,b1101000000000000
1193950000,b1010000000000000
1203950000,b100000000000000
1213950000,b1000000000000000
1223950000,b0
1244970000,b1001000110100
1250010000,b10010001101000
1260010000,b100100011010000
1270010000,b1001000110100000
1280010000,b10001101000000
1290010000,b100011010000000
1300010000,b1000110100000000
1310010000,b1101000000000
1320010000,b11010000000000
1330010000,b110100000000000
1340010000,b1101000000000000
1350010000,b1010000000000000
1360010000,b100000000000000
1370010000,b1000000000000000
1380010000,b0
